Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 12:58:40,-1,0,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,18.35136,-31.73172,0,0,
12/01/2024 12:58:44,-1,1,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,216,0,-144.1257,-0.8156537,0,0,
12/01/2024 12:58:48,-1,2,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-53.52969,34.41407,0,0,
12/01/2024 12:58:51,-1,3,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,72,0,72.88145,0.1046783,0,0,
12/01/2024 12:58:55,-1,4,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,-56,129.2199,-57.09875,0,0,
12/01/2024 12:58:59,-1,5,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,90.34019,-31.7657,0,0,
12/01/2024 12:59:05,-1,6,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,32,-127.5014,32.56312,0,0,
12/01/2024 12:59:09,-1,7,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,56,-89.74128,54.78468,0,0,
12/01/2024 12:59:13,-1,8,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,-56,-91.31783,-55.34811,0,0,
12/01/2024 12:59:18,-1,9,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,56,126.0263,56.68866,0,0,
12/01/2024 12:59:24,-1,10,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,56,-161.1311,55.79116,0,0,
12/01/2024 12:59:28,-1,11,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,252,0,-106.7086,-0.2601963,0,0,
12/01/2024 12:59:32,-1,12,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,0,0.6268256,0.8833739,0,0,
12/01/2024 12:59:35,-1,13,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,-56,-164.8369,-56.55228,0,0,
12/01/2024 12:59:42,-1,14,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,32,163.0499,31.63848,0,0,
12/01/2024 12:59:47,-1,15,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,90,38.46044,89.24285,0,0,
12/01/2024 12:59:51,-1,16,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,90.17973,31.99521,0,0,
12/01/2024 12:59:56,-1,17,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-54.5195,-31.9674,0,0,
12/01/2024 12:59:59,-1,18,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,-56,53.85181,-56.39112,0,0,
12/01/2024 13:00:04,-1,19,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,161.9057,-30.5603,0,0,
12/01/2024 13:00:08,-1,20,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,18.98784,32.21437,0,0,
12/01/2024 13:00:11,-1,21,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-126.805,-32.38626,0,0,
12/01/2024 13:00:16,-1,22,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,144,0,145.1315,0.5556712,0,0,
12/01/2024 13:00:20,-1,23,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,324,0,-35.7032,0.1235407,0,0,
12/01/2024 13:00:25,-1,24,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,180,0,-179.666,0,0,0,
12/01/2024 13:00:29,-1,25,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,54.11391,55.24547,0,0,
12/01/2024 13:00:33,-1,26,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,108,0,109.1951,0.9626616,0,0,
12/01/2024 13:00:37,-1,27,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,-56,-17.7945,-55.84644,0,0,
12/01/2024 13:00:41,-1,28,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,56,-16.52512,56.74609,0,0,
12/01/2024 13:00:45,-1,29,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,36,0,36.17973,1.179354,0,0,
12/01/2024 13:00:48,-1,30,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,288,0,-72.73993,-0.166689,0,0,
12/01/2024 13:00:54,-1,31,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,90.10162,-49.45618,0,0,
12/01/2024 13:00:59,-1,31,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,89.88946,-21.79846,0,1,
12/01/2024 13:01:03,-1,31,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,76.865,-22.34606,0,2,
12/01/2024 13:01:08,-1,32,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,-56,-158.439,-39.96317,0,0,
12/01/2024 13:01:13,-1,32,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,-56,-169.7892,-60.31981,0,1,
12/01/2024 13:01:18,-1,32,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,-56,-146.8803,-48.97684,0,2,
12/01/2024 13:01:22,-1,33,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-43.55649,-24.43443,0,0,
12/01/2024 13:01:26,-1,33,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-58.03323,-35.74264,0,1,
12/01/2024 13:01:30,-1,33,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-51.56927,-30.3579,0,2,
12/01/2024 13:01:35,-1,34,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,288,0,-72.92476,-0.3449174,0,0,
12/01/2024 13:01:39,-1,35,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,36,0,38.86253,0.5132,0,0,
12/01/2024 13:01:42,-1,36,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,-56,-58.48113,-37.8057,0,0,
12/01/2024 13:01:48,-1,36,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,-56,-76.12769,-55.74264,0,1,
12/01/2024 13:01:52,-1,36,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,-56,-93.61391,-48.41328,0,2,
12/01/2024 13:01:56,-1,37,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,32,147.7335,46.69844,0,0,
12/01/2024 13:02:03,-1,37,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,32,169.0553,34.27021,0,1,
